date,population,admission,release,los_1_day,los_2-3_days,los_4-7_days,los_8-14_days,los_15-30_days,los_31-60_days,los_61-90_days,los_91-182_days,los_183-365_days,los_365+_days
2022-03-29,129041.75510236312,3100.8681099217642,3061.3997740480586,0,0,0,0,0,0,0,0,0,0
2022-03-30,128889.94566045905,2911.8125543662086,3286.6219962702803,0,0,0,0,0,0,0,0,0,0
2022-03-31,128721.13621855492,3117.8125543662086,3527.7469962702803,0,0,0,0,0,0,0,0,0,0
2022-04-01,128586.20177665085,3390.5903321439864,3457.7469962702803,0,0,0,0,0,0,0,0,0,0
2022-04-02,128733.76733474681,3606.3125543662086,1471.802551825836,0,0,0,0,0,0,0,0,0,0
2022-04-03,129470.3884483983,2207.8681099217642,1476.2469962702805,0,0,0,0,0,0,0,0,0,0
2022-04-04,129997.50956204977,2005.868109921764,3805.801281984566,0,0,0,0,0,0,0,0,0,0
2022-04-05,129383.23353284413,3226.958586112241,3841.234615317899,0,0,0,0,0,0,0,0,0,0
2022-04-06,128893.62417030518,3351.625252778908,3889.234615317899,0,0,0,0,0,0,0,0,0,0
2022-04-07,128701.51480776611,3696.1345120381666,3430.392022725307,0,0,0,0,0,0,0,0,0,0
2022-04-08,128485.38692670866,3214.264141667796,3274.592022725307,0,0,0,0,0,0,0,0,0,0
2022-04-09,128672.14237898446,3459.9558083344627,1344.0336893919737,0,0,0,0,0,0,0,0,0,0
2022-04-10,129511.89783126024,2187.1224750011297,1634.033689391974,0,0,0,0,0,0,0,0,0,0
2022-04-11,129887.98661686943,2010.789141667796,3628.4146417729257,0,0,0,0,0,0,0,0,0,0
2022-04-12,129428.28968819288,3166.7177130963682,3578.6593799031266,0,0,0,0,0,0,0,0,0,0
2022-04-13,129261.88155050993,3437.5273068310717,3422.5719357420635,0,0,0,0,0,0,0,0,0,0
2022-04-14,128863.57060580947,3025.2588857784403,3525.569830478906,0,0,0,0,0,0,0,0,0,0
2022-04-15,128635.25966110901,3299.75888577844,2564.101409426273,0,0,0,0,0,0,0,0,0,0
2022-04-16,129153.10696202259,3086.938184024054,1493.5908831104844,0,0,0,0,0,0,0,0,0,0
2022-04-17,129901.95426293612,2242.4381840240535,1310.0908831104841,0,0,0,0,0,0,0,0,0,0
2022-04-18,130357.3015638497,1761.988184024054,3623.3485719184923,0,0,0,0,0,0,0,0,0,0
2022-04-19,129738.38686900957,3058.973215871188,3569.9593392827624,0,0,0,0,0,0,0,0,0,0
2022-04-20,129660.400745598,3492.8303587283312,3677.8861245685116,0,0,0,0,0,0,0,0,0,0
